Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066052,1939,12,13.0,Y
IDCJAC0001,066052,1940,01,19.6,Y
IDCJAC0001,066052,1940,02,25.8,Y
IDCJAC0001,066052,1940,03,21.9,Y
IDCJAC0001,066052,1940,04,201.3,Y
IDCJAC0001,066052,1940,05,191.9,Y
IDCJAC0001,066052,1940,06,64.2,Y
IDCJAC0001,066052,1940,07,87.7,Y
IDCJAC0001,066052,1940,08,50.9,Y
IDCJAC0001,066052,1940,09,84.2,Y
IDCJAC0001,066052,1940,10,63.4,Y
IDCJAC0001,066052,1940,11,92.0,Y
IDCJAC0001,066052,1940,12,230.1,Y
IDCJAC0001,066052,1941,01,125.1,Y
IDCJAC0001,066052,1941,02,67.0,Y
IDCJAC0001,066052,1941,03,62.9,Y
IDCJAC0001,066052,1941,04,98.1,Y
IDCJAC0001,066052,1941,05,44.5,Y
IDCJAC0001,066052,1941,06,57.6,Y
IDCJAC0001,066052,1941,07,64.8,Y
IDCJAC0001,066052,1941,08,96.8,Y
IDCJAC0001,066052,1941,09,59.6,Y
IDCJAC0001,066052,1941,10,55.1,Y
IDCJAC0001,066052,1941,11,49.3,Y
IDCJAC0001,066052,1941,12,16.3,Y
IDCJAC0001,066052,1942,01,10.9,Y
IDCJAC0001,066052,1942,02,49.6,Y
IDCJAC0001,066052,1942,03,467.1,Y
IDCJAC0001,066052,1942,04,15.6,Y
IDCJAC0001,066052,1942,05,48.2,Y
IDCJAC0001,066052,1942,06,162.3,Y
IDCJAC0001,066052,1942,07,51.2,Y
IDCJAC0001,066052,1942,08,29.2,Y
IDCJAC0001,066052,1942,09,20.1,Y
IDCJAC0001,066052,1942,10,86.6,Y
IDCJAC0001,066052,1942,11,86.1,Y
IDCJAC0001,066052,1942,12,75.5,Y
IDCJAC0001,066052,1943,01,50.3,Y
IDCJAC0001,066052,1943,02,9.7,Y
IDCJAC0001,066052,1943,03,11.7,Y
IDCJAC0001,066052,1943,04,28.9,Y
IDCJAC0001,066052,1943,05,306.7,Y
IDCJAC0001,066052,1943,06,35.9,Y
IDCJAC0001,066052,1943,07,8.0,Y
IDCJAC0001,066052,1943,08,144.7,Y
IDCJAC0001,066052,1943,09,96.8,Y
IDCJAC0001,066052,1943,10,31.7,Y
IDCJAC0001,066052,1943,11,142.9,Y
IDCJAC0001,066052,1943,12,50.0,Y
IDCJAC0001,066052,1944,01,64.0,Y
IDCJAC0001,066052,1944,02,62.7,Y
IDCJAC0001,066052,1944,03,81.3,Y
IDCJAC0001,066052,1944,04,47.3,Y
IDCJAC0001,066052,1944,05,71.5,Y
IDCJAC0001,066052,1944,06,42.6,Y
IDCJAC0001,066052,1944,07,57.3,Y
IDCJAC0001,066052,1944,08,80.9,Y
IDCJAC0001,066052,1944,09,22.3,Y
IDCJAC0001,066052,1944,10,19.2,Y
IDCJAC0001,066052,1944,11,24.6,Y
IDCJAC0001,066052,1944,12,17.1,Y
IDCJAC0001,066052,1945,01,105.2,Y
IDCJAC0001,066052,1945,02,45.5,Y
IDCJAC0001,066052,1945,03,25.5,Y
IDCJAC0001,066052,1945,04,278.0,Y
IDCJAC0001,066052,1945,05,142.3,Y
