time,humidity,temperature
18860000, 54.60, 22.70
18899998, 52.80, 19.30
18919999, 52.90, 19.80
18940000, 53.60, 21.00
18959998, 54.10, 21.80
18979998, 54.50, 22.70
18999999, 54.50, 22.70
19020000, 54.40, 22.70
19059998, 54.30, 22.70
19079999, 54.40, 22.70
19100000, 54.40, 22.70
19120000, 54.20, 22.70
19159998, 54.10, 22.70
19179999, 54.00, 22.60
19199998, 53.90, 22.60
19219999, 54.20, 22.60
19260000, 54.30, 22.60
19279998, 54.40, 22.60
19299999, 54.50, 22.70
19319999, 54.40, 22.70
19340000, 54.30, 22.70
19360000, 54.20, 22.70
19399998, 53.60, 21.50
19420000, 54.10, 22.60
19439998, 54.30, 22.70
19459999, 54.10, 22.60
19479999, 54.20, 22.70
19499999, 54.10, 22.70
19519998, 54.30, 22.90
19539999, 54.20, 22.70
19559998, 54.40, 23.10
19579999, 54.30, 22.70
19600000, 54.30, 22.70
19619999, 54.30, 22.70
19639999, 54.20, 22.70
19660000, 54.30, 22.70
19680000, 55.10, 22.30
19699999, 54.50, 22.70
19719998, 54.50, 22.70
19760000, 54.50, 22.70
19779999, 54.40, 22.70
19799999, 54.50, 22.60
19839998, 54.40, 22.60
19859999, 54.40, 22.60
19879999, 54.50, 22.70
19899999, 54.40, 22.60
19919998, 54.40, 22.60
19959999, 54.40, 22.60
19980000, 54.50, 22.70
19999998, 54.30, 22.60
20039999, 54.30, 22.60
20080000, 54.30, 22.70
20099999, 54.20, 22.70
20119999, 54.10, 22.60
20139999, 54.30, 22.60
20159998, 54.90, 23.70
20199998, 54.40, 22.60
20219999, 54.30, 22.60
20239998, 54.20, 22.60
20279998, 54.30, 22.60
20299999, 54.30, 22.60
20339999, 54.10, 22.60
20379999, 54.10, 22.60
20399998, 53.80, 22.60
20419998, 53.80, 22.60
20440000, 53.80, 22.60
20479998, 54.00, 22.60
20519999, 53.90, 22.60
20539999, 53.70, 22.60
20559998, 53.70, 22.70
20579998, 53.80, 22.60
20599999, 53.90, 22.60
20619999, 53.90, 22.60
20640000, 53.90, 23.00
20659999, 53.90, 22.60
20679999, 53.80, 22.60
20719998, 53.80, 22.60
20760000, 53.80, 22.60
20779999, 54.00, 22.60
20800000, 53.80, 22.60
20819998, 53.60, 22.60
20839999, 53.50, 22.60
20859999, 53.60, 22.60
20880000, 53.60, 22.60
20899999, 53.70, 22.60
20919999, 53.60, 22.60
20940000, 54.20, 23.70
20960000, 53.40, 22.50
20979998, 53.60, 22.60
20999999, 53.70, 22.50
21020000, 53.50, 22.60
21040000, 53.40, 22.60
21079999, 53.40, 22.60
21119998, 53.30, 22.50
21139999, 53.40, 22.60
21160000, 53.40, 22.50
21180000, 53.40, 22.60
21200000, 53.20, 22.50
21239999, 53.40, 22.50
21259999, 53.40, 22.50
21299998, 53.10, 22.50
21319999, 53.10, 22.60
21339999, 53.30, 22.50
21359998, 53.40, 22.60
21379999, 53.40, 22.50
21419999, 53.50, 22.60
21440000, 53.50, 22.50
21459999, 53.10, 22.20
21500000, 53.10, 22.60
21520000, 53.10, 22.60
21539999, 53.40, 22.60
21559999, 53.30, 22.50
21599998, 53.30, 22.60
21619999, 53.30, 22.50
21640000, 53.40, 22.60
21679998, 53.40, 22.60
21699998, 53.50, 22.60
21719998, 53.60, 22.60
21740000, 54.10, 23.50
21760000, 53.60, 22.60
21779998, 53.60, 22.60
21799999, 53.70, 22.60
21819999, 53.70, 22.60
21840000, 53.70, 22.60
21859999, 53.80, 22.60
21879999, 53.70, 22.60
21899999, 53.60, 22.60
21920000, 53.50, 22.60
21939999, 53.70, 22.60
21960000, 53.70, 22.60
21980000, 53.70, 22.50
22000000, 53.90, 22.60
22039999, 53.80, 22.60
22059999, 53.70, 22.50
22079998, 53.70, 22.50
22099998, 52.40, 19.70
22119998, 52.70, 20.40
22139999, 53.80, 22.50
22159998, 53.80, 22.50
22179999, 53.80, 22.60
22199999, 53.80, 22.50
22220000, 53.70, 22.50
22259998, 53.70, 22.50
22279999, 53.70, 22.50
22299999, 53.80, 22.50
22319998, 53.80, 22.50
22339998, 53.80, 22.50
22360000, 53.90, 22.50
22379999, 53.80, 22.50
22419998, 53.90, 22.50
22439999, 53.90, 22.50
22459999, 53.80, 22.50
22499999, 53.80, 22.50
22539999, 53.80, 22.50
22579999, 54.00, 22.50
22599998, 54.00, 22.50
22619999, 54.10, 22.50
22640000, 54.00, 22.50
22659998, 54.00, 22.50
22699998, 54.20, 22.90
22719998, 54.00, 22.50
22739998, 54.10, 22.50
22759999, 54.00, 22.50
22799998, 54.00, 22.50
22839998, 54.20, 22.50
22860000, 54.30, 22.50
22879998, 54.40, 22.50
22899999, 54.30, 22.50
22919999, 54.60, 22.50
22940000, 54.30, 22.50
22979998, 54.30, 22.50
22999999, 54.40, 22.50
23019998, 54.40, 22.50
23040000, 54.50, 22.50
23059998, 54.50, 22.50
23079999, 54.40, 22.50
23099999, 54.40, 22.50
23120000, 54.60, 22.50
23139999, 54.80, 22.90
23159999, 54.60, 22.50
23199998, 54.60, 22.50
23239999, 54.70, 22.60
23260000, 54.60, 22.70
23299998, 54.60, 22.40
23319999, 54.60, 22.50
23339999, 54.70, 22.50
23360000, 54.80, 22.50
23379999, 54.90, 22.50
23399999, 55.10, 22.60
23419999, 55.20, 22.50
23440000, 55.30, 22.50
23479999, 55.40, 22.50
23499998, 55.60, 22.90
23520000, 55.60, 22.50
23539999, 55.60, 22.60
23579999, 55.70, 22.50
23599998, 55.70, 22.50
23619998, 56.00, 22.50
23659999, 56.10, 22.50
23680000, 56.20, 22.60
23719999, 56.40, 22.90
23759998, 56.30, 22.70
23780000, 56.40, 22.50
23819999, 56.60, 22.50
23839998, 56.70, 22.50
23859998, 57.10, 22.50
23879999, 57.10, 22.50
23899999, 57.30, 22.50
23919998, 57.20, 22.70
23939999, 57.10, 22.50
23959999, 57.10, 22.50
23979999, 57.10, 22.50
24000000, 57.20, 22.50
24019999, 57.40, 22.50
24039999, 57.40, 22.50
24059999, 57.50, 22.50
24099998, 57.40, 22.50
24120000, 57.60, 22.50
24159998, 57.70, 22.50
24179999, 57.60, 22.50
24199999, 57.70, 22.50
24239998, 57.70, 22.50
24259999, 57.70, 22.50
24279999, 57.80, 22.50
24299999, 58.00, 22.50
24319998, 58.10, 22.50
24339998, 58.10, 22.50
24359999, 58.20, 22.50
24379999, 58.20, 22.40
24400000, 58.20, 22.50
24419999, 58.20, 22.50
24440000, 58.30, 22.50
